case_id,domain,model,effort,ok,latency_ms,served_model,provider,cost,ref_disp,ref_exp,ref_urgent,input_tokens,output_tokens,reasoning_tokens,valid,p_urgent,disposition,exposure
sast-main-001,sast,anthropic/claude-sonnet-5,minimal,True,4297.1,anthropic/claude-sonnet-5,Claude Platform on AWS,0.004376,ACCELERATED,3,True,1613,115,0,True,0.75,ACCELERATED,3.0
sast-main-001,sast,google/gemini-3.8-flash,minimal,True,5423.1,google/gemini-3.8-flash,Google,0.0016935,ACCELERATED,3,True,1028,246,139,True,0.85,ACCELERATED,3.0
sast-main-001,sast,openai/gpt-6-sol,minimal,True,1832.1,openai/gpt-6-sol,OpenAI,0.003546,ACCELERATED,3,True,1027,98,25,True,0.91,ACCELERATED,3.0
sast-main-001,sast,typesafe/jev-1.13,none,True,372.0,typesafe/jev-1.13-20260917,TypeSafe,5.2416e-05,ACCELERATED,3,True,1248,100,0,True,0.65,ACCELERATED,2.7
sast-main-003,sast,anthropic/claude-sonnet-5,minimal,True,2582.3,anthropic/claude-sonnet-5,Claude Platform on AWS,0.004368,STANDARD,1,False,1619,113,0,True,0.15,STANDARD,2.0
sast-main-003,sast,google/gemini-3.8-flash,minimal,True,5239.8,google/gemini-3.8-flash,Google,0.0011685,STANDARD,1,False,1033,105,0,True,0.05,DEFER,0.0
sast-main-003,sast,openai/gpt-6-sol,minimal,True,1696.0,openai/gpt-6-sol,OpenAI,0.0034535,STANDARD,1,False,1030,88,17,True,0.01,DEFER,0.0
sast-main-003,sast,typesafe/jev-1.13,none,True,164.8,typesafe/jev-1.13-20260917,TypeSafe,5.2836e-05,STANDARD,1,False,1258,98,0,True,0.24,DEFER,1.22
sast-main-009,sast,anthropic/claude-sonnet-5,minimal,True,2780.9,anthropic/claude-sonnet-5,Claude Platform on AWS,0.004372,DEFER,0,False,1626,112,0,True,0.03,DEFER,0.0
sast-main-009,sast,google/gemini-3.8-flash,minimal,True,6321.1,google/gemini-3.8-flash,Google,0.0011595,DEFER,0,False,1036,102,0,True,0.0,DEFER,0.0
sast-main-009,sast,openai/gpt-6-sol,minimal,True,1412.1,openai/gpt-6-sol,OpenAI,0.003261,DEFER,0,False,1037,67,0,True,0.001,DEFER,0.0
sast-main-009,sast,typesafe/jev-1.13,none,True,242.2,typesafe/jev-1.13-20260917,TypeSafe,5.2752e-05,DEFER,0,False,1256,98,0,True,0.06,DEFER,0.1
sast-main-016,sast,anthropic/claude-sonnet-5,minimal,True,2959.2,anthropic/claude-sonnet-5,Claude Platform on AWS,0.004318,DEFER,0,False,1599,112,0,True,0.03,DEFER,0.0
sast-main-016,sast,google/gemini-3.8-flash,minimal,True,6753.3,google/gemini-3.8-flash,Google,0.0011595,DEFER,0,False,1021,105,0,True,0.02,DEFER,0.0
sast-main-016,sast,openai/gpt-6-sol,minimal,True,2953.7,openai/gpt-6-sol,OpenAI,0.003708,DEFER,0,False,1019,167,96,True,0.01,DEFER,0.0
sast-main-016,sast,typesafe/jev-1.13,none,True,293.1,typesafe/jev-1.13-20260917,TypeSafe,5.187e-05,DEFER,0,False,1235,98,0,True,0.1,DEFER,0.25
sast-main-019,sast,anthropic/claude-sonnet-5,minimal,True,2704.4,anthropic/claude-sonnet-5,Claude Platform on AWS,0.00437,DEFER,0,False,1625,112,0,True,0.05,DEFER,1.0
sast-main-019,sast,google/gemini-3.8-flash,minimal,True,5689.2,google/gemini-3.8-flash,Google,0.0011685,DEFER,0,False,1033,105,0,True,0.01,DEFER,0.0
sast-main-019,sast,openai/gpt-6-sol,minimal,True,1436.6,openai/gpt-6-sol,OpenAI,0.003271,DEFER,0,False,1033,69,0,True,0.01,DEFER,0.0
sast-main-019,sast,typesafe/jev-1.13,none,True,148.5,typesafe/jev-1.13-20260917,TypeSafe,5.2206e-05,DEFER,0,False,1243,98,0,True,0.11,DEFER,0.45
sast-main-022,sast,anthropic/claude-sonnet-5,minimal,True,2397.1,anthropic/claude-sonnet-5,Claude Platform on AWS,0.00428,ACCELERATED,3,True,1620,104,0,True,0.35,STANDARD,2.0
sast-main-022,sast,google/gemini-3.8-flash,minimal,True,6303.5,google/gemini-3.8-flash,Google,0.00116625,ACCELERATED,3,True,1030,105,0,True,0.15,STANDARD,2.0
sast-main-022,sast,openai/gpt-6-sol,minimal,True,2504.1,openai/gpt-6-sol,OpenAI,0.003661,ACCELERATED,3,True,1029,109,39,True,0.08,STANDARD,2.0
sast-main-022,sast,typesafe/jev-1.13,none,True,173.2,typesafe/jev-1.13-20260917,TypeSafe,5.2332e-05,ACCELERATED,3,True,1246,100,0,True,0.61,ACCELERATED,2.8
sast-main-024,sast,anthropic/claude-sonnet-5,minimal,True,2377.2,anthropic/claude-sonnet-5,Claude Platform on AWS,0.004366,STANDARD,1,False,1618,113,0,True,0.1,STANDARD,1.0
sast-main-024,sast,google/gemini-3.8-flash,minimal,True,4444.7,google/gemini-3.8-flash,Google,0.001173,STANDARD,1,False,1034,106,0,True,0.05,DEFER,0.0
sast-main-024,sast,openai/gpt-6-sol,minimal,True,2599.7,openai/gpt-6-sol,OpenAI,0.0035135,STANDARD,1,False,1030,94,23,True,0.01,DEFER,0.0
sast-main-024,sast,typesafe/jev-1.13,none,True,144.3,typesafe/jev-1.13-20260917,TypeSafe,5.2962e-05,STANDARD,1,False,1261,98,0,True,0.19,DEFER,1.51
sast-main-032,sast,anthropic/claude-sonnet-5,minimal,True,2906.9,anthropic/claude-sonnet-5,Claude Platform on AWS,0.004364,STANDARD,1,False,1617,113,0,True,0.1,STANDARD,1.0
sast-main-032,sast,google/gemini-3.8-flash,minimal,True,4649.2,google/gemini-3.8-flash,Google,0.00149175,STANDARD,1,False,1034,191,109,True,0.02,DEFER,0.0
sast-main-032,sast,openai/gpt-6-sol,minimal,True,1908.1,openai/gpt-6-sol,OpenAI,0.003466,STANDARD,1,False,1035,88,17,True,0.01,DEFER,0.0
sast-main-032,sast,typesafe/jev-1.13,none,True,213.2,typesafe/jev-1.13-20260917,TypeSafe,5.2584e-05,STANDARD,1,False,1252,98,0,True,0.17,DEFER,0.78
sast-main-035,sast,anthropic/claude-sonnet-5,minimal,True,2278.8,anthropic/claude-sonnet-5,Claude Platform on AWS,0.004392,DEFER,0,False,1631,113,0,True,0.3,STANDARD,2.0
sast-main-035,sast,google/gemini-3.8-flash,minimal,True,9759.5,google/gemini-3.8-flash,Google,0.00117825,DEFER,0,False,1041,106,0,True,0.05,DEFER,0.0
sast-main-035,sast,openai/gpt-6-sol,minimal,True,2528.8,openai/gpt-6-sol,OpenAI,0.003746,DEFER,0,False,1039,115,44,True,0.12,REVIEW,1.0
sast-main-035,sast,typesafe/jev-1.13,none,True,848.8,typesafe/jev-1.13-20260917,TypeSafe,5.2794e-05,DEFER,0,False,1257,99,0,True,0.25,STANDARD,1.61
sast-main-036,sast,anthropic/claude-sonnet-5,minimal,True,2337.1,anthropic/claude-sonnet-5,Claude Platform on AWS,0.004236,EMERGENCY,4,True,1588,106,0,True,0.7,ACCELERATED,3.0
